zone_id,cx,cy,cz,gp1,gp2,gp3,gp4,gp5,gp6,gp7,gp8
114,886.171452908,-584.53246708,307.543429533,7781,7782,7587,7701,,,,
115,1559.838042,-844.854377822,410.096406301,2128,2129,2251,2003,,,,
116,1756.04513703,-562.635347466,528.991324549,18380,762,870,871,,,,
117,930.994293132,-1131.50526158,19.6562934661,22178,7431,7241,22179,,,,
118,1766.4781313,-1599.74318837,478.559287023,808,778,15188,15020,,,,
119,1703.73491528,-1454.87603687,527.707195564,14891,1101,1027,1100,,,,
120,1807.69236883,-1081.09590816,483.147002103,29518,357,348,352,,,,
121,1799.54336254,-1388.06405744,500.413327553,30205,661,451,15071,,,,
122,1147.01208971,-1604.42111571,332.183489401,15429,5788,5668,5459,,,,
123,551.511343362,-985.225873238,99.7664928213,18624,10010,10332,10145,,,,
124,793.40901591,-659.233961629,158.773828736,18902,8282,8243,8572,,,,
125,756.712415373,-636.01915388,177.380069591,18900,8572,8461,8742,,,,
126,278.087150809,-1397.74658411,577.919761366,12695,20187,12387,20186,,,,
127,1523.78364435,-101.376072052,407.273944678,26678,23986,24070,26679,,,,
128,837.596510004,-1593.89666616,478.17519709,16206,16360,16361,8052,,,,
129,236.673741656,-1003.31414584,508.42747051,29739,12833,13043,12961,,,,
130,995.064652185,-1261.22414792,354.829258583,16410,16682,6796,16551,,,,
131,87.9528795704,-1311.47822148,576.210265227,13798,13927,21032,13926,,,,
132,1640.25865625,-1604.85072803,506.748694679,14908,1483,1470,1493,,,,
133,1425.52363706,-731.832922341,418.710297576,3451,3426,29964,3380,,,,
134,1791.04190273,-1467.43151878,165.045396638,481,15317,471,809,,,,
135,1311.26204321,-1384.29272807,453.609562605,15089,4394,4291,4347,,,,
136,238.114533746,-1178.9518756,514.165896716,24604,20366,20150,24125,,,,
137,765.153659185,-1318.81714786,154.859943992,17258,8648,8724,8386,,,,
138,1149.79384099,-1469.48618221,93.908100135,5441,16091,16087,5620,,,,
139,1690.93179833,-924.220667751,489.663582126,15958,1197,1187,16046,,,,
140,1413.59120725,-724.789553905,415.25610406,3626,29631,18569,3575,,,,
141,1540.10979185,-953.249903279,243.781065956,16588,2457,2259,2087,,,,
142,1757.71004951,-8.29766027539,428.349941633,18839,699,885,847,,,,
143,9.4653417398,-990.759110763,301.565421026,19478,14616,14624,14606,,,,
144,33.6441647811,-983.353076538,237.148310934,22336,14071,14605,14088,,,,
145,452.432935361,-517.832471071,446.734645805,10951,11050,11049,11070,,,,
146,465.572718412,-585.759268254,260.164871172,24653,20507,20472,20292,,,,
147,176.247154656,-1193.64972668,562.392524007,20538,20696,13413,20537,,,,
148,371.75929191,-1016.65413457,453.829557215,20320,11735,11757,11670,,,,
149,949.487043239,-16.5607770855,449.434861085,7368,20014,19786,7136,,,,
150,990.896050198,-1258.61568116,368.760504911,16682,6946,6841,6895,,,,
151,1795.93816415,-856.04557888,17.6077348641,294,888,280,269,,,,
152,1004.44473185,-375.412395714,142.903455741,26587,23651,23652,25705,,,,
153,1775.206448,-453.502742247,542.855965144,29537,815,17956,18606,,,,
154,1708.97284645,-1075.78418922,502.065837844,15479,1113,1011,1010,,,,
155,1054.59316451,-730.012133467,325.512307788,6535,19290,6242,6326,,,,
156,1473.71621927,-1061.12048188,102.849013068,16416,16272,2869,16423,,,,
157,1440.20184202,-1395.91468226,506.059068308,14874,3248,3368,3020,,,,
158,1799.89106503,-811.401541229,418.862384204,16595,16707,275,264,,,,
159,1600.63124676,-1139.84468043,440.617797423,15470,1784,1935,15469,,,,
160,1609.6150279,-859.915878442,450.898257252,30468,16881,1717,1713,,,,
161,1054.56223699,-369.411583315,455.107376599,22472,21177,6496,6472,,,,
162,1641.4994487,-18.8842361081,401.559097207,18828,1366,1597,18844,,,,
163,1804.67371868,-1203.09721324,329.110327314,15631,396,384,393,,,,
164,1274.57291865,-1475.14204659,395.309597186,15213,15292,4674,15290,,,,
165,1130.08348461,-786.555741926,223.665743265,22231,5830,5789,5553,,,,
166,1430.21872136,-716.56909958,430.664582504,29624,3309,3413,3416,,,,
167,1788.43781103,-765.282423812,369.3700701,16731,16736,16597,257,,,,
168,1045.05949204,-1243.94364271,336.758966996,16674,16545,6418,16548,,,,
169,994.713515538,-529.474577922,352.823337483,30395,20566,20565,20225,,,,
170,434.026682367,-701.954386714,339.255921959,21244,11288,11119,11118,,,,
171,1002.58279022,-1287.30578223,350.410338143,16410,6911,6886,6714,,,,
172,131.022719931,-1116.92314043,472.356162245,18705,18708,13684,18953,,,,
173,87.48595679,-1097.8007097,547.309155081,20174,20377,13819,19470,,,,
174,1444.59960938,-682.216796875,454.907409668,3116,3115,3155,3154,,,,
175,1031.87925745,-367.800585863,458.362154965,21297,6696,6472,6496,,,,
176,948.840721554,-192.636243878,569.038541357,7275,21643,7199,21769,,,,
177,6.07825446775,-131.948867503,516.839684029,21565,14329,14328,14335,,,,
178,402.101225079,-769.820370407,335.454773249,20793,11551,11382,11502,,,,
179,530.035216718,-12.6203595154,585.497511369,30134,10268,10266,10384,,,,
180,237.350731875,-771.246796456,331.240318374,13025,13180,20644,12935,,,,
181,10.989721138,-495.336917851,544.619443161,21655,14445,14440,21654,,,,
182,663.029628365,-365.363269432,415.29913451,21378,9192,9201,9393,,,,
183,1292.69801647,-83.2304191122,567.017645497,21227,29827,20947,4455,,,,
184,675.517472103,-1000.51793958,172.508745494,18436,9139,9022,9299,,,,
185,329.327029144,-61.7006118233,549.601829871,21756,12090,12277,21757,,,,
186,624.564805685,-724.269745403,302.430161817,20100,9598,9508,20101,,,,
187,122.332751193,-1022.50024141,160.892475765,19186,13591,13848,13844,,,,
188,401.13764318,-521.868291485,465.432680634,11307,11497,11501,11530,,,,
189,78.3828299913,-315.661362159,385.610996996,21092,26019,24966,24965,,,,
190,184.7675676,-1587.21601318,355.067020106,18211,18213,13396,18002,,,,
191,98.8263381697,-1164.17316464,273.930442738,18031,18226,13852,18240,,,,
192,1114.50219449,-1442.240406,134.934196915,16140,5776,5827,6025,,,,
193,131.454068478,-1600.67745665,212.221991729,17815,13849,13634,13649,,,,
194,885.07650672,-156.11316916,569.503296483,21544,30651,7749,21644,,,,
195,1073.50889312,-287.875453218,547.571033592,21750,6027,6248,6241,,,,
196,477.711817413,-580.704817693,255.316255422,24653,20507,20292,20328,,,,
197,26.4025032026,-90.9149148304,541.423399916,21659,14202,21846,21567,,,,
198,1315.53672352,-1319.84335208,368.775042207,15443,4249,4434,4287,,,,
199,1741.87915255,-928.217288566,219.52773807,16170,1022,799,16053,,,,
200,1628.19539967,-1429.58329177,234.083059276,15102,1769,1606,1337,,,,
201,612.76458789,-774.308919802,304.40155257,9664,9566,19874,20097,,,,
202,1744.03749485,-815.643284189,532.040767535,29998,830,936,926,,,,
203,1807.02447257,-461.340366066,483.414148682,17602,154,164,158,,,,
204,1426.56043721,-710.439586649,431.174293041,18792,3429,3415,3458,,,,
