gp_id,x,y,z,ux,uy,uz,u_mag
5718,1128.7890625,-618.703125,391.032958984,-0.0448673962239,-0.111376645482,-0.01950467567,0.121648151551
5719,1128.57605429,-1425.40595309,509.865579542,1.03416633373,3.41335410349,-1.90561355044,4.04374198549
5720,1128.57504042,-1524.13240512,0.0,0.0,0.0,0.0,0.0
5721,1128.43862674,-1218.58352939,347.060649318,0.292830848162,2.61986207076,0.803318958389,2.75585713061
5722,1128.40151587,-1333.20514684,316.787771902,0.456032202352,1.98741464594,-0.570464503864,2.11735969893
5723,1128.20503266,-134.886796723,595.223611737,-0.0189002030435,-0.00534767887944,-0.308948803247,0.309572573676
5724,1127.76171875,-1493.2734375,543.289306641,0.260610495275,2.19093943724,-3.08143776366,3.78990661352
5725,1127.70254339,-1613.6171875,465.171480643,0.104292100656,0.0,-2.16132379504,2.16383857745
5726,1127.65199123,-1302.99752768,374.898925898,1.24010952714,3.98426134776,-0.304095210181,4.18385994309
5727,1127.62890625,-584.0390625,401.098632813,-0.041426466339,-0.110607056494,-0.0393054934407,0.124478893288
5728,1127.62890625,-590.1171875,401.986328125,-0.0415099656583,-0.109655011615,-0.0333441242096,0.121898028862
5729,1127.57811812,-1613.6171875,519.764897812,-0.109397568491,0.0,-2.5247773333,2.52714629785
5730,1127.1640625,-1366.4140625,448.297973633,1.50842019224,3.97450420444,-1.40555840888,4.47745570478
5731,1127.1640625,-1411.2265625,486.185424805,1.19914026112,3.64245245595,-1.88164932026,4.27153384911
5732,1126.56640625,-603.328125,400.799438477,-0.0422642296567,-0.108762229461,-0.0277298801929,0.119935123802
5733,1126.37140202,0.0,406.891706166,-0.0128155675064,0.0,-0.295870105823,0.296147527915
5734,1126.31640625,-1429.9453125,515.845825195,0.991020942951,3.30596395272,-1.90999837712,3.94456765269
5735,1125.75390625,-613.375,391.997436523,-0.0447822835906,-0.11180951355,-0.0082989881523,0.120729836611
5736,1125.7220128,-1027.67883887,183.90415015,0.0772964732581,0.491031554,-0.235224134271,0.549924654062
5737,1125.63852006,-1562.8203125,538.182735221,-0.148628275527,1.26156290962,-2.88154753096,3.14911852943
5738,1125.54934293,-46.6579962445,598.426791796,-0.0191554384674,-0.0022817811078,-0.316694999976,0.317281988707
5739,1125.49207901,-914.162345243,74.6944743469,-0.0185466194838,-0.00721970434119,-0.0434954886115,0.0478326118313
5740,1125.3046875,-1331.7578125,400.466674805,1.44313005536,4.1422630151,-0.757820508083,4.45143338324
5741,1124.82004635,-1077.27053207,338.609274456,0.546918671618,2.05557208857,0.329132730833,2.15239982326
5742,1124.79998014,0.0,441.105872281,-0.0115239234833,0.0,-0.312369799155,0.312582296742
5743,1124.63242308,-1533.18663632,338.869547496,0.0737950057167,0.589171277381,-0.535654117049,0.799683581219
5744,1124.49020744,-633.22505646,368.545216804,-0.0474254158221,-0.11788654776,-0.0325782005588,0.131178303695
5745,1124.2340215,0.0,319.812875194,-0.0126304038425,0.0,-0.237480058445,0.237815695992
5746,1124.10955011,-368.372169459,538.796926736,-0.0214035923532,-0.0435972244454,-0.202181100864,0.207932751849
5747,1123.8324572,-729.51874722,267.452275837,-0.0452419086373,-0.0857627712363,-0.0435863814212,0.10631018706
5748,1123.65358855,-607.91358733,395.293205834,-0.0505289987977,-0.114057399517,0.0126426780939,0.125387828011
5749,1123.63722728,-1286.8671875,361.748724163,1.04251926156,3.77192820729,0.284365516998,3.92366570428
5750,1123.49692064,-477.128689091,456.576964431,-0.034004338637,-0.0977810695397,-0.0921021070692,0.138564897189
5751,1123.35622766,-1018.625,318.398164411,0.717779675611,1.94693108376,0.469139213249,2.12740215028
5752,1123.34222235,0.0,601.391779068,-0.019255416576,0.0,-0.314765187983,0.315353602538
5753,1123.25873754,-965.87142829,187.999390175,-0.00650671239694,0.0210501051604,-0.0658412866419,0.0694299593846
5754,1122.9453125,-1311.3046875,393.261230469,1.53170155704,4.34874292329,-0.397691306196,4.62772439194
5755,1122.80155305,-924.338499943,240.715518442,-0.022652564155,-0.0210416033896,-0.0473998878742,0.0565918466433
5756,1122.73663272,-828.962474067,162.764123256,-0.0328315858883,-0.0390623284202,-0.0528335390881,0.0734517623078
5757,1122.71484375,-613.375,391.128051758,-0.0437631733468,-0.108774258684,-0.00982673297922,0.117658911157
5758,1122.71484375,-618.703125,391.523071289,-0.0443508746415,-0.111409958687,-0.0182286801869,0.121290823056
5759,1122.71484375,-634.703125,390.458251953,-0.0452660699732,-0.11729796473,-0.028628188771,0.128947286954
5760,1122.71484375,-661.6640625,369.724731445,-0.0479449760546,-0.118686648598,-0.0336850481966,0.132362848853
5761,1122.71484375,-687.421875,358.11340332,-0.0476190643513,-0.110795840791,-0.0351159677932,0.125604238863
5762,1122.71484375,-734.8359375,348.424438477,-0.0458305890426,-0.0994274862429,-0.0368031775353,0.115502128938
5763,1122.71484375,-783.703125,330.189575195,-0.0429329213884,-0.0837339883066,-0.0381367787623,0.101533395644
5764,1122.71484375,-808.0,317.387817383,-0.0411504397253,-0.075131191689,-0.0396405853639,0.0943897804965
5765,1122.71484375,-834.7265625,306.090942383,-0.0387227046536,-0.0655816690126,-0.0405156061802,0.0862665491967
5766,1122.71484375,-1333.2890625,401.717285156,1.48865356078,4.16221069629,-0.828266228955,4.49734502239
5767,1122.66338693,-1369.9858419,292.869240631,0.25344304402,1.33173535268,-0.599465136654,1.48226545403
5768,1122.65052662,-1338.35500012,386.815092591,1.3409289136,3.95406562899,-0.957589908201,4.28365542288
5769,1122.6289917,0.0,555.076518732,-0.0151077220383,0.0,-0.326511087366,0.326860418892
5770,1122.41867484,-1439.0298033,498.510301727,1.01112668211,3.48772247571,-2.19675940139,4.24409437954
5771,1122.3575469,-110.043238556,595.165286666,-0.0185354942259,-0.00480542463519,-0.31200119711,0.312588233384
5772,1122.33631892,-189.577529764,596.959441245,-0.0188348629816,-0.00608340735202,-0.287182572667,0.287863839258
5773,1122.28421121,-995.515625,317.681070705,0.768135687886,1.91929978446,0.723046506845,2.19010053392
5774,1122.2610827,-612.260048931,389.374902981,-0.0438097515405,-0.111333655611,-0.0280375323908,0.122884418964
5775,1122.140625,-571.890625,407.820922852,-0.0396495161051,-0.110455911604,-0.0426069755285,0.124851699625
5776,1121.8140588,-1418.70903156,150.080744928,0.039912007051,0.165694445759,-0.203644314015,0.265553430204
5777,1121.56098371,-1459.04957083,526.807217597,0.777636639355,2.81023323515,-2.57870644625,3.89253856946
